,ALXN,AMD,BABA,BB,CAT,CGI,CMG,GME,IBM,NFLX,NVDA,P,QCOM,SDRL,SHLD,STRP,TSLA,VRX,WATT,WFC,Time
week33,0.135149037894533,0.163725923391669,0.8629859352988,0.22726296344275002,0.264909196255125,-0.3575289400776671,-0.19717422614494298,-0.137547340200767,-0.132982402777091,0.37293321981754496,0.6151072793453329,-0.36886287510833293,-0.0939529239346556,-0.8945374077341249,-0.1989727485935,4.26558189413167,0.633188824276627,-0.062775262820428,-0.35962495317800003,-0.0337194257800956,week33
week34,0.135486983681767,0.16302011922394502,0.8823118235590001,0.239550226565083,0.270991436604625,-0.35327589709533297,-0.204793566322857,-0.105545614749,-0.128135613657718,0.38719888970672706,0.637010488197611,-0.365581621849,-0.0948664396485644,-0.9017217286315,-0.194442089075,4.2708615564333305,0.6582985657341021,-0.07464707303430701,-0.422315600858333,-0.0314657314692444,week34
week35,0.18127416368666702,0.166232433543693,0.8857002953003001,0.255689989949,0.29463721068925003,-0.381034047692667,-0.20491417578600002,-0.08631872592569999,-0.126081328390636,0.389225024023818,0.662538394171722,-0.37085122591200004,-0.0937522648908388,-0.900913865569375,-0.248433733082,4.27620926089333,0.682145199501814,-0.064295899269529,-0.40641748769966707,-0.0293574126223633,week35
week36,0.220270747454667,0.19322607497912803,0.9179469303785001,0.283967139074667,0.318976391439625,-0.348990340816667,-0.215961944034357,-0.0975471853429111,-0.12158022100572699,0.393755047274364,0.713089241109444,-0.37843652741266703,-0.0806647329227006,-0.9124194094148751,-0.222794844568,4.29984277637333,0.676761112076966,-0.066716453873579,-0.306768716998,-0.0349789813388778,week36
week37,0.20575985210366698,0.204862272620166,0.9330332214046,0.37678485787458293,0.334442277368875,-0.258079008715,-0.21570803030542898,-0.10700282327275601,-0.105741592258236,0.42410372475900004,0.7245259969405559,-0.39233895791400003,-0.0857091123439038,-0.90563746323375,-0.24800928486499998,4.29799933350667,0.65243791352739,-0.0526010830130055,-0.322796180137333,-0.02384419513392,week37
week38,0.195208802900767,0.19852032375808604,0.9258532691057,0.42828672795850004,0.378577893625,-0.18549099302379998,-0.197894560490429,-0.128159953468556,-0.10041056917261802,0.488323898307,0.773577063294167,-0.39127531608366706,-0.0703959339108469,-0.903873718548125,-0.291923535726,4.31415613998833,0.649024860211,-0.058217610743547005,-0.329623472213,0.00022888918048400003,week38
week39,0.19370759014166697,0.202243025307938,0.9308405208387,0.505917313763583,0.38739196933849995,-0.197937346288133,-0.213926959843786,-0.11594163478248899,-0.0901014917036273,0.498627779798818,0.8413064602411109,-0.4021386421318329,-0.0334594324431125,-0.892055411354375,-0.303560450869,4.30527781068167,0.641920315218932,-0.069993581333954,-0.309690959621,0.01035001321105,week39
week40,0.188030830465667,0.17318389408579998,0.9573547415336999,0.531228541951583,0.40435610566299995,-0.21755759694663301,-0.253212721238929,-0.149916504344667,-0.0852981712186455,0.48999505317836406,0.8705770193754999,-0.45996068159866704,0.0424287793318125,-0.88230289424625,-0.371883605796,4.315853342161669,0.638454747088542,-0.11195652848773,-0.300859419635333,0.0262963978209722,week40
week41,0.192823239618667,0.15190041026192802,0.9655202533108,0.52590254890475,0.428397074471875,-0.22367636142633301,-0.265942265226214,-0.19761555540311102,-0.0847709995407454,0.508340369590182,0.9162421959734441,-0.48127883095533297,0.0991007787490062,-0.894984254844875,-0.396736229281,4.318362214061669,0.5712577604418639,-0.132869899552687,-0.40518278414700004,0.0275829064406889,week41
week42,0.16843124186279998,0.12375642363629302,0.9722876350776001,0.5025642578845,0.441322552650875,-0.15149043625262698,-0.25965779895221397,-0.247015732413778,-0.0857301315923909,0.517697911105636,0.963826574855944,-0.5046207854565,0.119804740313845,-0.891698519054625,-0.438852958804,4.323504322330001,0.5456555040858639,-0.149184200557333,-0.39633456782433296,0.00954744953239778,week42
week43,0.0915031898567667,0.08411859901903099,0.9941892017560999,0.47258549607075,0.474073484033125,-0.187670415696633,-0.259988118524357,-0.242303762639667,-0.07844533586369999,0.513273252213182,0.986576344726778,-0.525126160739,0.13497842034795,-0.900603677498375,-0.47258045244900004,4.33072240668833,0.5203874013323561,-0.10203293003473698,-0.45893059830833294,0.0246975985577989,week43
week44,0.0194901817170333,0.0286945687885945,1.0065828178712,0.46614685341000006,0.49002215570512503,-0.1751558291101,-0.24819466174078603,-0.166123599722111,-0.0758283780249091,0.49666052957227297,0.996662461011333,-0.530267758428833,0.124626926451075,-0.9013198744165001,-0.500647030597,4.33285270095167,0.516726828511915,-0.0621164991070027,-0.531268652504333,0.0422693517121773,week44
week45,-0.0349971549866167,0.008257709434080341,1.0072523040567,0.46002307848875,0.520888903340875,-0.151399767644733,-0.24626317461321398,-0.14190868048139998,-0.0673162323503564,0.48694811767290896,0.967679594842556,-0.551270799124833,0.125596921885162,-0.9034741137135001,-0.5329002773125,4.32665973868333,0.499960192758373,0.0011491912884511,-0.529854499187333,0.0497645444918489,week45
week46,-0.070740566890727,-0.00831743146299,0.9722148790063999,0.44107880200274996,0.554263455296875,-0.1360394332191,-0.24258365657935702,-0.149432497371978,-0.06580368199509999,0.463551878759818,0.9154987852052779,-0.608256678241833,0.1407931493431,-0.9064712045476251,-0.5393570934405,4.33054868661667,0.474057806837475,0.0986308581978867,-0.514712890109,0.0472465487311733,week46
week47,-0.0850256624014667,-0.00981120785056793,0.9367137165425999,0.475384318089,0.56529198103175,-0.1333736648811,-0.25229510090157103,-0.172770055557556,-0.0610335444013273,0.469848278039091,0.8934040937144441,-0.6270353923245,0.148055359837517,-0.895691888241125,-0.583552703846,4.31930653023167,0.47671183254715294,0.169911315738353,-0.5088574082123329,0.0582064122595367,week47
week48,-0.0960540104471667,-0.00251714549203793,0.9400777043516999,0.5061082713423329,0.6188985946994999,-0.15074946627466698,-0.258046737539,-0.18625547527355604,-0.0565324555922727,0.478065439389909,0.907389965544,-0.6190802192905,0.155964971003049,-0.905815236690125,-0.6064969965829999,4.333869635119999,0.5107268139192199,0.2754469429202,-0.533032531152667,0.0822819905610822,week48
week49,-0.0713125394242333,0.0039005962605551704,0.9296167491101,0.5250549152360829,0.64380354334325,-0.189924941,-0.22826086760085698,-0.17314159484611097,-0.043277042055330006,0.507966245614455,0.9392566149086671,-0.628510174525167,0.17234301504864902,-0.9062570588940001,-0.6210713246445,4.34377014701833,0.519688731288966,0.34299494918633,-0.272583032969,0.12057338855486699,week49
