,AAPL,AGN,AMD,AMZN,BA,BAC,CHK,COP,F,FB,FCX,FNMA,GE,NKE,NVDA,QCOM,SBUX,TSLA,VRX,XOM,time,Time
week39,0.36267041321493,-0.024415194525200003,0.202243025307938,0.274729191217273,0.6510818870803999,0.17080530509596697,-0.433910169511045,0.0309146877626154,0.0005023996488688231,0.397718284198786,-0.0422191584207571,-0.256454812647412,-0.231004351392462,0.0182113547685294,0.8413064602411109,-0.0334594324431125,-0.0254444857568829,0.641920315218932,-0.069993581333954,-0.024100074215349997,week39,week39
week40,0.38269619668409294,-0.0599727132820125,0.17318389408579998,0.29077486857995505,0.6571842455331329,0.18254789898872198,-0.434015113044864,0.0358002947459685,0.0122748618553219,0.40986193482271394,-0.0326162822846457,-0.247715443340824,-0.258025775617231,0.0220770020970677,0.8705770193754999,0.0424287793318125,-0.0217090557537277,0.638454747088542,-0.11195652848773,-0.020242779972881,week40,week40
week41,0.40560739866574397,-0.0967961550449625,0.15190041026192802,0.322612209172045,0.6660049747194671,0.194675323787389,-0.447207723081864,0.0426619794446231,0.00986448590999941,0.42341942091335705,-0.0370597990519529,-0.25655824443452896,-0.279874444498231,0.0269006705708517,0.9162421959734441,0.0991007787490062,-0.0120271676048155,0.5712577604418639,-0.132869899552687,-0.0223619701580927,week41,week41
week42,0.424072862918349,-0.12452507685491301,0.12375642363629302,0.36710411833377293,0.677491148590667,0.19616567182905603,-0.45734328141118197,0.0350100353118823,0.0129549919222347,0.43248911458807104,-0.0519604851042071,-0.249021065867176,-0.318224987338615,0.0464552917617678,0.963826574855944,0.119804740313845,-0.00447329798077692,0.5456555040858639,-0.149184200557333,-0.0204428869087185,week42,week42
week43,0.44072204275120896,-0.13876960644596803,0.08411859901903099,0.38614715652422704,0.7056324231714,0.21528201785144396,-0.459659664225455,0.0336531318257392,0.00934045077665,0.41878391753364297,-0.0398339611475829,-0.258251405214765,-0.34108842796176897,0.0746850971981,0.986576344726778,0.13497842034795,0.00687292816306308,0.5203874013323561,-0.10203293003473698,-0.02044983107124,week43,week43
week44,0.4657569672418839,-0.15698781703794398,0.0286945687885945,0.40463272510750004,0.7350277175251329,0.238741569834056,-0.45761158544672703,0.0490236061752754,0.0180734990018924,0.43298243689657107,-0.0431988797259786,-0.257233755946706,-0.37040887484076895,0.0960013765472389,0.996662461011333,0.124626926451075,0.0168040230776054,0.516726828511915,-0.0621164991070027,-0.0159857633151217,week44,week44
week45,0.4801233636,-0.159790350145612,0.008257709434080341,0.460915098769591,0.769089852146533,0.249704792621333,-0.449103282957091,0.05598332107774,0.0258389408018712,0.4278098399875,-0.00822494211509286,-0.274885202085529,-0.389646194325,0.118058256204172,0.967679594842556,0.125596921885162,0.0168259986240477,0.499960192758373,0.0011491912884511,-0.0140585987911392,week45,week45
week46,0.48815212836406996,-0.167974471927506,-0.00831743146299,0.471182816703,0.7772611634494669,0.260949962746833,-0.45354765680977294,0.0549162844250185,0.0343875811932888,0.43627467609692894,0.0344672826903057,-0.284301819505,-0.404157862421308,0.143765119988133,0.9154987852052779,0.1407931493431,0.0304729145250308,0.474057806837475,0.0986308581978867,-0.0125081602046067,week46,week46
week47,0.484362048108674,-0.167973038324919,-0.00981120785056793,0.490564893012045,0.7987586391614,0.275779032775611,-0.45306785196245497,0.0852558477629915,0.0351141644760765,0.45065191513335706,0.0807775425875029,-0.312264724250118,-0.41144245162246207,0.173198716673472,0.8934040937144441,0.148055359837517,0.0344218769396569,0.47671183254715294,0.169911315738353,0.000372225878568334,week47,week47
week48,0.48774670789104707,-0.18185853166479998,-0.00251714549203793,0.511118019701409,0.8819727834086,0.29465461259255604,-0.45755483592013596,0.114385410578747,0.0459290129908471,0.44578688581592896,0.129608068432604,-0.348697969083471,-0.408521561487154,0.19259854049855604,0.907389965544,0.155964971003049,0.0390286936757462,0.5107268139192199,0.2754469429202,0.00402163253467083,week48,week48
week49,0.49313071560781396,-0.1745049523662,0.0039005962605551704,0.5264209272058641,0.9550426178218001,0.331694347815944,-0.45137257765463595,0.12983130101063098,0.05610869374671,0.45339577562042893,0.173447751303357,-0.353765435893353,-0.41681755558876904,0.21399376107222198,0.9392566149086671,0.171616053518111,0.0491882813060785,0.519688731288966,0.34299494918633,0.0146278425708,week49,week49
